,column_name,term_id
0,age,397669002
1,gender,263495000
2,first_226512,27113001
3,first_226730,1153637007
4,min_220045,364075005
5,min_220179,251070002
6,min_220180,174255007
7,min_220210,86290005
8,min_220228,104142005
9,min_220277,431314004
10,min_220546,767002
11,min_220739,281395000
12,min_223761,386725007
13,min_223791,405161002
14,min_223834,427081008
15,min_223900,281397008
16,min_223901,281396004
17,min_224054,373713005
18,min_224055,None
19,min_224056,68130003
20,min_224057,363803005
21,min_224058,384759009
22,min_224059,None
23,min_225624,105011006
24,min_226253,None
25,min_227073,25469001
26,min_227457,61928009
27,min_227465,396451008
28,min_227466,42525009
29,avg_220045,364075005
30,avg_220179,251070002
31,avg_220180,174255007
32,avg_220210,86290005
33,avg_220228,104142005
34,avg_220277,431314004
35,avg_220546,767002
36,avg_220739,281395000
37,avg_223761,386725007
38,avg_223791,405161002
39,avg_223834,427081008
40,avg_223900,281397008
41,avg_223901,281396004
42,avg_224054,373713005
43,avg_224055,None
44,avg_224056,68130003
45,avg_224057,363803005
46,avg_224058,384759009
47,avg_224059,None
48,avg_225624,105011006
49,avg_226253,None
50,avg_227073,25469001
51,avg_227457,61928009
52,avg_227465,396451008
53,avg_227466,42525009
54,max_220045,364075005
55,max_220179,251070002
56,max_220180,174255007
57,max_220210,86290005
58,max_220228,104142005
59,max_220277,431314004
60,max_220546,767002
61,max_220739,281395000
62,max_223761,386725007
63,max_223791,405161002
64,max_223834,427081008
65,max_223900,281397008
66,max_223901,281396004
67,max_224054,373713005
68,max_224055,None
69,max_224056,68130003
70,max_224057,363803005
71,max_224058,384759009
72,max_224059,None
73,max_225624,105011006
74,max_226253,None
75,max_227073,25469001
76,max_227457,61928009
77,max_227465,396451008
78,max_227466,42525009
79,min_50802,67487000
80,min_50804,31542002
81,min_50813,394960005
82,min_50818,250564007
83,min_50820,60170009
84,min_50821,359846004
85,min_50861,250637003
86,min_50863,88810008
87,min_50868,25469001
88,min_50878,45896001
89,min_50882,312471006
90,min_50885,359986008
91,min_50893,312472004
92,min_50902,104589004
93,min_50912,70901006
94,min_50931,33747003
95,min_50960,271285000
96,min_50970,104866001
97,min_50971,312468003
98,min_50983,312469006
99,min_51006,105011006
100,min_51221,28317006
101,min_51222,104142005
102,min_51248,54706004
103,min_51249,37254006
104,min_51250,104133003
105,min_51265,61928009
106,min_51277,66842004
107,min_51279,14089001
108,min_51301,767002
109,min_51491,167305006
110,avg_50802,67487000
111,avg_50804,31542002
112,avg_50813,394960005
113,avg_50818,250564007
114,avg_50820,60170009
115,avg_50821,359846004
116,avg_50861,250637003
117,avg_50863,88810008
118,avg_50868,25469001
119,avg_50878,45896001
120,avg_50882,312471006
121,avg_50885,359986008
122,avg_50893,312472004
123,avg_50902,104589004
124,avg_50912,70901006
125,avg_50931,33747003
126,avg_50960,271285000
127,avg_50970,104866001
128,avg_50971,312468003
129,avg_50983,312469006
130,avg_51006,105011006
131,avg_51221,28317006
132,avg_51222,104142005
133,avg_51248,54706004
134,avg_51249,37254006
135,avg_51250,104133003
136,avg_51265,61928009
137,avg_51277,66842004
138,avg_51279,14089001
139,avg_51301,767002
140,avg_51491,167305006
141,max_50802,67487000
142,max_50804,31542002
143,max_50813,394960005
144,max_50818,250564007
145,max_50820,60170009
146,max_50821,359846004
147,max_50861,250637003
148,max_50863,88810008
149,max_50868,25469001
150,max_50878,45896001
151,max_50882,312471006
152,max_50885,359986008
153,max_50893,312472004
154,max_50902,104589004
155,max_50912,70901006
156,max_50931,33747003
157,max_50960,271285000
158,max_50970,104866001
159,max_50971,312468003
160,max_50983,312469006
161,max_51006,105011006
162,max_51221,28317006
163,max_51222,104142005
164,max_51248,54706004
165,max_51249,37254006
166,max_51250,104133003
167,max_51265,61928009
168,max_51277,66842004
169,max_51279,14089001
170,max_51301,767002
171,max_51491,167305006
172,diabetes_diagnosed,73211009
173,hypertensive_diagnosed,38341003
174,ischematic_diagnosed,414545008
175,heart_diagnosed,84114007
176,overweight_diagnosed,238131007
177,anemia_diagnosed,271737000
178,respiratory_diagnosed,128272009
179,hypotension_diagnosed,45007003
180,lipoid_diagnosed,11455007
181,atrial_diagnosed,49436004
182,purpura_diagnosed,423902002
183,alcohol_diagnosed,66590003
