,column_name,term_id
0,patient_nbr,184107009
1,race,103579009
2,gender,263495000
3,age,397669002
4,weight,27113001
5,admission_type_id,None
6,discharge_disposition_id,None
7,admission_source_id,None
8,time_in_hospital,None
9,payer_code,None
10,medical_specialty,394733009
11,num_lab_procedures,108252007
12,num_procedures,71388002
13,num_medications,None
14,number_outpatient,373864002
15,number_emergency,None
16,number_inpatient,416800000
17,diag_1,8319008
18,diag_2,85097005
19,diag_3,85097005
20,number_diagnoses,None
21,max_glu_serum,22569008
22,A1Cresult,43396009
23,metformin,372567009
24,repaglinide,386964000
25,nateglinide,387070004
26,chlorpropamide,386991003
27,glimepiride,386966003
28,acetohexamide,387210001
29,glipizide,387143009
30,glyburide,384978002
31,tolbutamide,373481003
32,pioglitazone,395828009
33,rosiglitazone,395869000
34,acarbose,386965004
35,miglitol,109071007
36,troglitazone,386967007
37,tolazamide,387186009
38,examide,None
39,citoglipton,None
40,insulin,67866001
41,glyburide-metformin,776106002
42,glipizide-metformin,776113002
43,glimepiride-pioglitazone,776110004
44,metformin-rosiglitazone,409120009
45,metformin-pioglitazone,418835009
46,change,182838006
47,diabetesMed,None
48,readmitted,417005
