,column_name,term_id
0,age,397669002
1,sex,263495000
2,on_thyroxine,309632008
3,query_on_thyroxine,None
4,on_antithyroid_medication,418416001
5,sick,39104002
6,pregnant,289908002
7,thyroid_surgery,387713003
8,I131_treatment,228698009
9,query_hypothyroid,40930008
10,query_hyperthyroid,34486009
11,lithium,85899009
12,goitre,3716002
13,tumor,363478007
14,hypopituitary,302019003
15,psych,None
16,TSH_measured,61167004
17,TSH,61167004
18,T3_measured,250668004
19,T3,250668004
20,TT4_measured,313408009
21,TT4,313408009
22,T4U_measured,104976002
23,T4U,104976002
24,FTI_measured,5113004
25,FTI,5113004
26,TBG_measured,38929004
27,TBG,38929004
28,referral_source,None
29,Class,14304000
